codigo_municipio,municipio,cluster_final,total_delitos_tasa,HURTOS_tasa,LESIONES_tasa,VIOLENCIA INTRAFAMILIAR_tasa,HOMICIDIOS_tasa,AMENAZAS_tasa,log_densidad,log_area,centros_por_km2,proporcion_menores,proporcion_adultos,proporcion_adolescentes
68217,COROMORO,2,5150.66759372612,451.1533658738207,2114.7814025335347,1372.2581545328715,140.98542683556897,347.7640528610701,3.291280088336611,6.360431193114905,0.003463228974127688,0.1870712402467146,0.7508853522071273,0.062043407546158065
68229,CURITÍ,2,8492.456287568715,1393.7172834643422,4040.1532147118087,1285.2567944787902,244.0361002174918,867.6839118844154,4.571777854163993,5.502166928258141,0.00409462285196421,0.1784620396003494,0.7622884418690686,0.05924951853058193
68235,EL CARMEN DE CHUCURI,2,3811.418315592832,317.6181929660694,959.3365828362911,1024.1566222171216,113.43506891645335,576.8983504893913,3.7461536966252718,6.829829005534825,0.0054110643638131724,0.1979847790560026,0.7347262297269979,0.06728899121699952
68245,EL GUACAMAYO,2,5046.760500028112,296.868264707536,989.5608823584535,1352.399872556553,32.98536274528178,1253.4437843207077,3.8568737936063653,4.542950362450477,0.021512864182909826,0.1796536219024339,0.7595384640154155,0.06080791408215067
68250,EL PEÑÓN,3,5163.0964599588715,373.39101580749946,1776.8262131529284,759.657583884223,347.6399112690512,1493.5640632299978,3.32609814011736,5.989506998965224,0.012555944686450722,0.2282688937010791,0.6935813454226187,0.07814976087630217
68255,EL PLAYÓN,3,9781.855141456375,1035.478486226172,4404.7257434392495,1755.5828142108703,499.3424172156667,930.3537668123474,4.020157261780283,6.122453161478413,0.017583116236759514,0.2050251976060978,0.7270457889556884,0.06792901343821388
68264,ENCINO,2,3391.056406168129,297.02683849647843,1262.3640636100333,841.5760424066889,99.0089461654928,222.77012887235884,2.636266276696693,5.995039876536181,0.004994597201648686,0.19257004103231654,0.7473674753443589,0.06006248362332454
68266,ENCISO,2,4200.938906242682,381.90353693115287,1775.851446729861,763.8070738623057,248.23729900524935,458.28424431738347,4.586173093471762,4.328309778642426,0.026732238233138656,0.16520969439572833,0.7744904328292367,0.06029987277503492
68271,FLORIÁN,2,6060.74372380325,898.2888019208388,2229.487869827624,1168.8577181620553,119.05032314613526,1136.3894482131093,4.287882764989467,5.179531888743122,0.022650100856453467,0.19488439771994806,0.7377867352929031,0.06732886698714882
68276,FLORIDABLANCA,1,13215.90423165006,5146.756080426113,4035.3941824310723,2562.0137028626955,162.1468339474104,613.2055844514061,8.557540507251698,4.6183602046089085,0.05980399893366025,0.15174607469377713,0.7903249242722445,0.05792900103397828
68296,GALÁN,2,7136.346381591658,836.4948139594618,1672.9896279189236,2404.922590133453,104.56185174493272,1333.1636097478925,3.295649403772182,5.311882816190642,0.004957082188047401,0.1840030177342388,0.7603471215844448,0.05564986068131643
68298,GÁMBITA,3,8358.85569896976,766.4694672065697,2646.488915071741,1764.3259433811606,303.69544927052766,1417.245429929129,2.8732402052173356,6.412200897533894,0.0032882132052815035,0.20534840437318924,0.7331296247814517,0.061521970845359
68307,GIRÓN,1,15872.492747761129,4889.29464105142,5210.472313596858,3740.1409541502353,271.49911168409346,975.0861713249997,6.45857338825751,6.202596016359835,0.008113098417467775,0.17233978694993662,0.765844350768026,0.06181586228203736
68318,GUACA,2,4820.212716682685,377.4215773688903,1941.0252550400073,841.1109438506697,291.1537882560011,873.4613647680034,3.8058153001539834,5.715046344485402,0.0066137945857734255,0.18357867373421644,0.7541787156187664,0.06224261064701722
68320,GUADALUPE,2,9573.047289555538,1544.9298219455623,3145.035708960609,2676.0391558699916,110.35213013896875,951.7871224486054,4.27119546882964,4.992679783612986,0.027335342095640158,0.17907330253492976,0.7603910858214437,0.060535611643626565
68322,GUAPOTÁ,2,6596.035810625904,1218.1867938543335,1634.1530161460573,1515.3055240627077,59.42374604167481,980.4918096876345,4.193132917427951,4.223915095503981,0.029717521304782144,0.18241444070232984,0.7567875410129181,0.06079801828475204
68324,GUAVATÁ,2,6427.744449155786,879.5860825160551,2435.7768438906137,1031.8221352592186,67.6604678858504,1031.8221352592186,4.572202508707197,4.440241945914636,0.01193382145527847,0.1488020665606431,0.7935167990868748,0.05768113435248207
68327,GÜEPSA,0,13472.725957613895,1823.9526609283887,5793.731981772529,3126.775990162952,275.8919991320252,1333.4779958047884,5.594217107304914,3.4390308706095825,0.13264029393698962,0.16752639655701987,0.7696795320931743,0.06279407134980582
68344,HATO,2,6558.088335730412,681.3598270888741,1675.0095749268155,2044.079481266622,56.7799855907395,1022.039740633311,3.3720804340181343,5.135901798114205,0.017749633717790928,0.17756622626929153,0.7623618609475844,0.060071912783124
68368,JESÚS MARÍA,0,5320.167129816038,613.8654380556967,1759.7475890929973,1043.5712446946843,204.62181268523224,757.1007069353593,4.310635544755339,4.506377887488309,0.055807878371625395,0.17046608973734517,0.7687850423962945,0.06074886786636033
68370,JORDÁN,2,3075.352015867717,170.8528897704287,1252.9211916498105,626.4605958249052,227.8038530272383,455.6077060544766,4.05687026818074,3.7111099530519303,0.02506317328883299,0.1985169626917216,0.7351068208445276,0.0663762164637507
68377,LA BELLEZA,2,4150.398465030057,644.1679346510305,1402.4922121516106,758.3242775005801,65.2321959140284,774.6323264790873,3.9507111378207234,5.8177109256749295,0.011933117914979115,0.1826131697468645,0.7539144379072221,0.0634723923459134
68385,LANDÁZURI,3,6628.055059623553,704.2911489847443,1876.5017599662024,1017.845427642336,381.0890463684575,1736.608312565123,3.9658303914794706,6.382182086440338,0.015248644746801042,0.19548782375334905,0.740032578853005,0.06447959739364582
68397,LA PAZ,2,4819.777408466928,371.73815118494923,2153.5175654852233,884.480428681431,141.00412631153245,525.5608344338937,3.6587541497046554,5.653705885708615,0.007033660268321774,0.16144870664923786,0.7811398521770407,0.05741144117372142
68406,LEBRIJA,3,11530.312928938074,2920.1879801181235,5029.676950300764,1658.171995579381,327.62269267495833,713.7494376133021,4.841686460905482,6.312520774819838,0.009083753779822379,0.18771765110476094,0.748223029720391,0.064059319174848
68418,LOS SANTOS,2,6248.150228616642,1776.3845350052247,2258.9861138794763,785.5110805080907,282.37326423493454,472.3334601747996,4.39334152387192,5.673753375218465,0.003446787938840604,0.193024570209014,0.744504367991673,0.062471061799312985
68425,MACARAVITA,0,3967.109011371246,296.858497449549,1781.1509846972942,647.6912671626525,80.96140839533156,539.7427226355437,3.9230470307353946,4.64359739369726,0.06801563820065862,0.1686108983103371,0.7720228165519449,0.05936628513771799
68432,MÁLAGA,0,10289.725295149945,1957.3404951199764,5115.776294063575,1570.6630896155057,116.345414045593,876.012529284465,6.476786152885375,4.0635707962467205,0.03497622761780963,0.17064437768258892,0.7635966653274288,0.06575895698998234
68444,MATANZA,2,7319.529836427194,1378.6785650804645,2857.6246621667815,1265.877591573881,87.73409050512048,990.1418785577882,3.8757697053312192,5.466998682877881,0.02120903658252751,0.1717860987710942,0.770904803473003,0.057309097755902746
68464,MOGOTES,3,8189.294508594517,1012.8539211233035,3433.8218301497363,1963.9484568122593,296.44505008486937,623.7697928869126,3.830765764017134,6.184087295914775,0.008264972927222633,0.20475141080996623,0.7315703618581528,0.06367822733188092
68468,MOLAGAVITA,2,2308.423600590797,164.8874000421998,1103.4772156670292,469.2949078124148,88.78552309964604,240.98927698475353,4.118087272288789,5.201099729747744,0.011082069807882365,0.1631932055967255,0.7714646520530996,0.06534214235017494
68498,OCAMONTE,2,6099.11545133374,508.2596209444783,2096.570936395973,2274.4618037265404,127.06490523611957,343.0752441375229,4.8741041446276405,4.333640676914718,0.01329411055010598,0.18336978176196267,0.7566067578465034,0.060023460391533875
68500,OIBA,3,10645.066772263246,2131.342690726667,4548.029075020566,1642.1820731828418,378.51714452796,908.441146867104,4.385286590343804,5.659714759161817,0.020974125961454555,0.18579129707497657,0.7525522154523753,0.061656487472648236
68502,ONZAGA,2,5493.461552620492,764.1823157188611,1629.2943712496472,1528.3646314377222,245.1150824003894,619.9969731303968,3.1305920340797213,6.194871480296799,0.008176139606789196,0.18123444617717294,0.7572671418348506,0.06149841198797653
